Id|OrderId|ProductId|Quantity|Price|ProductImage|ProductName
30|8|12|1|5750000.00|https://localhost:7033/images/products/16540961-87cc-4297-8031-fd4da295b55d.jpg|AMD Ryzen 9 5900X
31|8|66|1|2750000.00|https://localhost:7033/images/products/8764e82d-d777-4384-9f22-cb0d72089738.jpg|Xigmatek Aquarius Plus
32|9|37|1|4275000.00|https://localhost:7033/images/products/2b7a4390-d80a-4763-a443-acd4c2002133.png|ASROCK Z790 Steel Legend
33|9|46|1|2550000.00|https://localhost:7033/images/products/ba2a79d7-e7bf-4d02-ad9f-7e6d06295de4.webp|Lexar Thor OC 32GB
34|10|10|1|4725000.00|https://localhost:7033/images/products/b06d8676-3664-44f9-a720-8b0e326aecd8.jpg|AMD Ryzen 7 5700X
35|10|22|1|6500000.00|https://localhost:7033/images/products/49d50661-ceb2-464b-a544-85e72d8bdd22.webp|ASUS TUF RX 7800 XT
36|10|32|1|3500000.00|https://localhost:7033/images/products/a096dd9a-9432-41a6-adff-3f9624780c22.png|ASUS TUF GAMING B550-PLUS
37|10|42|2|1550000.00|https://localhost:7033/images/products/3a754ea9-8bd3-4910-9d45-9162d5bc2019.jpg|TeamGroup T-Force Delta RGB 16GB
38|10|57|1|2720000.00|https://localhost:7033/images/products/82c386ca-bb9c-4e58-8154-92e240709fde.webp|Gigabyte AORUS Gen4 2TB
39|10|73|1|2500000.00|https://localhost:7033/images/products/cc41e781-ef68-44ad-95e0-56cc1ee6b6a7.webp|Asus ROG Thor 1200W
40|10|80|1|750000.00|https://localhost:7033/images/products/43234a94-439e-41cb-a559-a9ebbb7d5c1a.webp|NZXT Kraken Elite 360
41|11|128|1|1912000.00|https://localhost:7033/images/products/4b15aa1e-8e2b-4a5a-822d-cfe5f2d2e9aa.jpg|Logitech G515 TKL Lightspeed
42|12|128|1|1912000.00|https://localhost:7033/images/products/4b15aa1e-8e2b-4a5a-822d-cfe5f2d2e9aa.jpg|Logitech G515 TKL Lightspeed
43|12|88|1|1912000.00|https://localhost:7033/images/products/9e87b723-dc7d-43e4-9a82-91910044836b.jpg|Be Quiet! Dark Rock Pro 4
44|13|87|1|3250000.00|https://localhost:7033/images/products/0159b2e2-d225-442d-a18b-b0a4aa695220.png|Arctic Liquid Freezer II
45|14|74|1|1752000.00|https://localhost:7033/images/products/0d3d5ecc-a879-4128-a63b-9688ebcef436.webp|Gigabyte P850GM

(45 rows affected)
